User,Title,Status,URL,Jurisdiction,Jurisdiction ID,Jurisdiction Level,Jurisdiction State,Agency,Agency ID,Followup Date,Estimated Completion Date,Requested Documents,Tracking Number,Embargo,Days since submitted,Days since updated,Projects,Tags,Price,Date Submitted,Date Due,Date Done
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Awaiting Acknowledgement,https://www.muckrock.com/foi/yankton-29221/public-library-circulation-anonymized-patron-access-records-and-budget-information-88577/,Yankton,29221,Local,South Dakota,Yankton Community Library,20523,4/3/20,,"1. Total circulation of library materials (broken down by material type) for 2015, 2016, 2017, 2018. Please provide these as aggregated monthly totals for 2015, 2016, 2017, 2018. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2015, 2016, 2017, and 2018.

3. Patron circulation records including material due dates and material return dates for 2015, 2016, 2017, and 2018. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2015, 2016, 2017, and 2018 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2015, 2016, 2017, and 2018.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2015 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",,FALSE,36,11,Public Library Fines and Fees,,0,2020-02-22 23:36:44.384072+00:00,3/6/20,
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Withdrawn,https://www.muckrock.com/foi/new-york-16/public-library-circulation-anonymized-patron-access-records-and-budget-information-88573/,New York,16,State,New York,Tomkins Cove Public Library,20518,,,"1. Total circulation of library materials (broken down by material type) for 2016, 2017, 2018, 2019. Please provide these as aggregated monthly totals for 2016, 2017, 2018, 2019. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2016, 2017, 2018, and 2019.

3. Patron circulation records including material due dates and material return dates for 2016, 2017, 2018, and 2019. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2016, 2017, 2018, and 2019 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2016, 2017, 2018, and 2019.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2016 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",,FALSE,36,11,Public Library Fines and Fees,,0,2020-02-22 23:34:42.638189+00:00,3/2/20,2020-03-19 23:10:28.061423+00:00
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Awaiting Acknowledgement,https://www.muckrock.com/foi/tooele-31767/public-library-circulation-anonymized-patron-access-records-and-budget-information-88574/,Tooele,31767,Local,Utah,Toole City Library,20520,,,"1. Total circulation of library materials (broken down by material type) for 2015, 2016, 2017, 2018. Please provide these as aggregated monthly totals for 2015, 2016, 2017, 2018. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2015, 2016, 2017, and 2018.

3. Patron circulation records including material due dates and material return dates for 2015, 2016, 2017, and 2018. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2015, 2016, 2017, and 2018 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2015, 2016, 2017, and 2018.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2015 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",,FALSE,36,11,Public Library Fines and Fees,,0,2020-02-22 23:35:25.014984+00:00,3/6/20,
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Partially Completed,https://www.muckrock.com/foi/wisconsin-146/public-library-circulation-anonymized-patron-access-records-and-budget-information-88575/,Wisconsin,146,State,Wisconsin,Verona Public Library,20521,,,"1. Total circulation of library materials (broken down by material type) for 2016, 2017, 2018, 2019. Please provide these as aggregated monthly totals for 2016, 2017, 2018, 2019. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2016, 2017, 2018, and 2019.

3. Patron circulation records including material due dates and material return dates for 2016, 2017, 2018, and 2019. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2016, 2017, 2018, and 2019 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2016, 2017, 2018, and 2019.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2016 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",,FALSE,36,0,Public Library Fines and Fees,,0,2020-02-22 23:35:55.233367+00:00,,
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Withdrawn,https://www.muckrock.com/foi/wood-county-25212/public-library-circulation-anonymized-patron-access-records-and-budget-information-88576/,Wood County,25212,Local,Ohio,Wood County District Public Library,20522,,,"1. Total circulation of library materials (broken down by material type) for 2015, 2016, 2017, 2018. Please provide these as aggregated monthly totals for 2015, 2016, 2017, 2018. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2015, 2016, 2017, and 2018.

3. Patron circulation records including material due dates and material return dates for 2015, 2016, 2017, and 2018. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2015, 2016, 2017, and 2018 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2015, 2016, 2017, and 2018.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2015 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",,FALSE,36,10,Public Library Fines and Fees,,0,2020-02-22 23:36:23.785765+00:00,,2020-03-20 12:04:31.872772+00:00
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Awaiting Response,https://www.muckrock.com/foi/new-york-16/public-library-circulation-anonymized-patron-access-records-and-budget-information-88464/,New York,16,State,New York,Albert Wisner Public Library,20473,4/3/20,,"1. Total circulation of library materials (broken down by material type) for 2016, 2017, 2018, 2019. Please provide these as aggregated monthly totals for 2016, 2017, 2018, 2019. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2016, 2017, 2018, and 2019.

3. Patron circulation records including material due dates and material return dates for 2016, 2017, 2018, and 2019. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2016, 2017, 2018, and 2019 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2016, 2017, 2018, and 2019.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2016 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",,FALSE,38,11,Public Library Fines and Fees,,0,2020-02-21 02:13:01.607895+00:00,2/27/20,
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Awaiting Acknowledgement,https://www.muckrock.com/foi/allegan-16751/public-library-circulation-anonymized-patron-access-records-and-budget-information-88466/,Allegan,16751,Local,Michigan,Allegan District Library,20474,,,"1. Total circulation of library materials (broken down by material type) for 2017, 2018, 2019. Please provide these as aggregated monthly totals for 2017, 2018, 2019. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2017, 2018, and 2019.

3. Patron circulation records including material due dates and material return dates for 2017, 2018, and 2019. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2017, 2018, and 2019 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2017, 2018, and 2019.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2017 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",,FALSE,38,11,Public Library Fines and Fees,,0,2020-02-21 02:16:18.240043+00:00,2/27/20,
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Fix Required,https://www.muckrock.com/foi/abilene-2789/public-library-circulation-anonymized-patron-access-records-and-budget-information-88467/,Abilene,2789,Local,Texas,Abilene Public Library,20475,,,"1. Total circulation of library materials (broken down by material type) for 2016, 2017, 2018, 2019. Please provide these as aggregated monthly totals for 2016, 2017, 2018, 2019. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2016, 2017, 2018, and 2019.

3. Patron circulation records including material due dates and material return dates for 2016, 2017, 2018, and 2019. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2016, 2017, 2018, and 2019 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2016, 2017, 2018, and 2019.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2016 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",20-513,FALSE,38,6,Public Library Fines and Fees,,0,2020-02-21 02:20:06.634144+00:00,,
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Completed,https://www.muckrock.com/foi/anderson-12600/public-library-circulation-anonymized-patron-access-records-and-budget-information-88468/,Anderson,12600,Local,Indiana,Anderson Public Library,20476,,,"1. Total circulation of library materials (broken down by material type) for 2016, 2017, 2018, 2019. Please provide these as aggregated monthly totals for 2016, 2017, 2018, 2019. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2016, 2017, 2018, and 2019.

3. Patron circulation records including material due dates and material return dates for 2016, 2017, 2018, and 2019. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2016, 2017, 2018, and 2019 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2016, 2017, 2018, and 2019.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2016 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",,FALSE,38,11,Public Library Fines and Fees,,0,2020-02-21 03:49:35.583435+00:00,3/2/20,2020-03-10 21:10:54.897594+00:00
norlab,"Public Library Circulation, Anonymized Patron Access Records, and Budget Information",Completed,https://www.muckrock.com/foi/englewood-5819/public-library-circulation-anonymized-patron-access-records-and-budget-information-88469/,Englewood,5819,Local,Colorado,Arapahoe Library District,20477,,,"1. Total circulation of library materials (broken down by material type) for 2015, 2016, 2017, 2018. Please provide these as aggregated monthly totals for 2015, 2016, 2017, 2018. If possible please include the following details:

    -Total physical item circulation (delineated by first time check-outs versus renewals)
    -Total number of circulations of electronic materials
    -Total circulation
    -Electronic Content Use
    -Total Collection Use

2. Lost library items aggregated monthly for 2015, 2016, 2017, and 2018.

3. Patron circulation records including material due dates and material return dates for 2015, 2016, 2017, and 2018. If possible, please provide these as hashed (de-identified but with unique key per patron).

4. Annual itemized library budget 2015, 2016, 2017, and 2018 including any donations made to the library. Please provide a record of donations collected aggregated monthly for these years. Please also provide a description of how donations are solicited.

5. The total revenue of fines and total revenue of fees collected 2015, 2016, 2017, and 2018.

6. The current library policy on fines and fees and the date this policy took effect as well as dates of changes to the policy between 2015 and today.

7. The definition (if any) your library uses for ""active borrower"".

--

This request is part of a research project by the Information School at the University of Washington to better understand how removal of library fines affects library circulation, patron visits, and library budgets. We are committed to open access and plan to make our findings broadly available to the public. If fees cannot be waived please inform us in advance.

We ask that, if possible, you please respond via email with data files in machine-readable format (examples include .csv, .txt., .xls/x) or if applicable text documents or clear, high-quality scanned PDFs. If you cannot reply electronically, please mail us the best quality copies you reasonably can. Your efforts help us ensure broad accessibility and equity.",,FALSE,38,11,Public Library Fines and Fees,,0,2020-02-21 03:51:55.167124+00:00,,2020-03-06 23:04:21.981659+00:00
