"","library_name","state","fine_free_date","type_of_elimination","source","muckrock_filed"
"1","Abilene Public Library","TX",2018-10-01,"Everyone","https://www.bigcountryhomepage.com/news/main-news/all-branches-of-the-abilene-public-library-will-stop-fining-for-overdue-items-starting-oct-1/1480588788",1
"2","Albert Wisner Public Library","NY",2018-09-01,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",NA,1
"3","Allegan District Library","MI",2019-01-01,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://alleganlibrary.org/no-more-fines-on-books/",1
"4","Anderson Public Library","IN",2018-09-01,"No Fines","https://www.heraldbulletin.com/news/local_news/anderson-library-takes-fines-off-the-books/article_0a4c73ef-0999-5bd3-8d91-15120476e519.html",1
"5","Arapahoe Library District","CO",2017-04-01,"Everyone","https://arapahoelibraries.org/faq/fine-free/",1
"6","Ashtabula County District Library","OH",2017-04-01,"No Fines","https://www.acdl.info/wp-content/uploads/2016/06/May-2017-Newsletter.pdf",1
"7","Austin Public Library","TX",2018-10-01,"Children Only","https://www.statesman.com/news/20181001/austin-public-library-ends-overdue-fines-on-childrens-books",1
"8","Chillicothe & Ross County Public Library","OH",2017-04-01,"Everyone","https://woub.org/event/chillicothe-ross-county-library-now-fine-free/",1
"9","Coos Bay Public Library","OR",2018-12-04,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://kcby.com/news/local/public-libraries-in-coos-curry-counties-eliminate-fines-on-childrens-books",1
"10","Corvallis-Benton County Public Library","OR",2017-01-17,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","https://cbcpubliclibrary.net/circpolicy/",1
"11","Crete Public Library","NE",2019-01-01,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","http://www.crete.ne.gov/vimages/shared/vnews/stories/592ee46f5d6f2/Overdue%20Materials%20Policies%20Starting%202019.pdf",1
"12","Darlington County Library System","SC",2017-06-01,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","http://www.newsandpress.net/darlington-county-library-ends-overdue-fines-on-all-childrens-items/",1
"13","Denver Public Libraries","CO",2019-01-01,"No Fines","https://www.denverlibrary.org/fine-free",1
"14","Enoch Pratt Free Library","MD",2018-06-04,"Everyone","http://www.baltimoresun.com/news/maryland/baltimore-city/bs-md-ci-pratt-fine-free-20180518-story.html",1
"15","Evansville-Vanderburgh Public Library","IN",2018-09-01,"Everyone","http://wkdq.com/evansville-public-library-eliminating-overdue-fines/ https://www.evpl.org/discover/initiatives/evpl-eliminates-fines/",1
"16","Fargo Public Library","ND",2018-07-02,"Children Only","https://www.am1100theflag.com/news/447-fargo-public-library-eliminates-overdue-fines-children%E2%80%99s-items",1
"17","Greenwood Public Library","IN",2018-12-18,"No Fines","http://www.dailyjournal.net/2018/12/21/greenwood_library_drops_late_fees/ http://greenwoodlibrary.us/utilities/file_library/img/pressroom/fine%20free.pdf",1
"18","Hartford Public Library","CT",2018-04-01,"Children Only","https://www.wnpr.org/post/libraries-across-connecticut-are-eliminating-overdue-fines",1
"19","Hillsboro Public Library","OR",2017-06-01,"Children Only","https://www.wccls.org/overdue-fine-rate-changes-faq",1
"20","Jackson City Library","OH",2019-01-01,"No Fines","https://www.jacksoncitylibrary.org/content/jackson-city-library-fine-free",1
"21","Jackson County Library Services","OR",2018-01-01,"Everyone","https://mailtribune.com/news/happening-now/jackson-county-libraries-say-goodbye-to-late-fees",1
"22","Jefferson County Library","WA",2018-01-10,"Everyone","http://www.peninsuladailynews.com/news/jefferson-county-port-townsend-libraries-drop-late-fees/",1
"23","Joplin Public Library","MO",2018-07-31,"Everyone","https://www.joplinglobe.com/news/fine-with-no-fines-joplin-public-library-to-eliminate-an/article_d5aad31e-94e1-11e8-9978-a77f5de6b58c.html",1
