timestamp,library_name,library_url,type_of_elimintation,source
1/24/2019 10:22:54,Burlington Public Library (Wisconsin),https://www.burlingtonlibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.burlingtonlibrary.org/no-overdue-fines-for-kids-and-teens-materials/
1/24/2019 10:25:54,Kenosha Public Library,https://www.mykpl.info,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.mykpl.info/blog/2017/11/fine-free-children%E2%80%99s-books-magazines
1/24/2019 10:27:42,Waterford Public Library,https://www.waterford.lib.wi.us/,No Fines,https://www.waterford.lib.wi.us/2019-is-fine-free/
1/24/2019 11:48:48,Delaware County District Library,https://www.delawarelibrary.org/,No Fines,https://www.dispatch.com/content/stories/local/2016/07/31/no-fines-are-just-fine-with-some-libraries.html
1/24/2019 12:06:46,Greenwood Public Library,http://www.greenwoodlibrary.us/,No Fines,http://www.dailyjournal.net/2018/12/21/greenwood_library_drops_late_fees/
1/24/2019 17:03:57,Monona Public Library,http://mymonona.com/131/Library,No Fines,http://mymonona.com/608/Fine-Free
1/24/2019 21:31:54,Claverack Free Library ,Www.claveracklibrary.org,No Fines,"No, we’ve always been fine free. "
1/25/2019 0:28:38,Adair County Public Library,https://www.adaircountypubliclibrary.com,No Fines,
1/25/2019 11:12:16,Hamilton Wenham Public Library ,HWLibrary.org,No Fines,
1/25/2019 11:12:34,Alfred Box of Books Library,www.alfredboxofbookslibrary.org,No Fines,https://www.nyla.org/max/4DCGI/cms/review.html?Action=CMS_Document&DocID=2664&MenuKey=eBulletin
1/25/2019 11:12:52,Sawyer Free Library,Sawyerfreelibrary.org,In the Process of Removing Fines,
1/25/2019 11:24:39,North Scituate Public Library,Scituatelibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","No, we have had no fines on books for years. "
1/25/2019 11:37:52,Stevens Memorial Library,www.stevensmemlib.org,No Fines,
1/25/2019 12:18:14,Montour Falls Memorial Library,montourfallslibrary.org,No Fines,"No, links but it has been mentioned in our previous newsletters and on website in the past. "
1/25/2019 12:51:29,Van Meter Public Library,http://vanmeteria.gov/library/,No Fines,No
1/25/2019 12:53:03,Tippecanoe County Public Library,http://tcpl.lib.in.us,No Fines,
1/25/2019 12:54:26,Hagerstown - Jefferson Township Library,http://hagerstownlibrary.org,No Fines,http://hagerstownlibrary.org/policies-fees/
1/25/2019 12:59:24,Brandon Free Public Library ,Brandonpubliclibrary.org ,No Fines,No
1/25/2019 13:03:39,Tippecanoe County Public Library,www.tcpl.lib.in.us,No Fines,We have not had overdue fines since 1989! https://tcpl.lib.in.us/frequently-asked-questions/
1/25/2019 13:07:19,DeRuyter Free Library,https://www.midyorklib.org/deruyter/,No Fines,
1/25/2019 13:09:11,Orange Beach Public Library,www.orangebeachlibrary.org ,No Fines,
1/25/2019 13:09:18,Casey Cardinia Libraries,https://www.cclc.vic.gov.au,No Fines,"This article is about the trial, but it has now been made permanent.  https://www.heraldsun.com.au/leader/news/casey-cardinia-library-corporation-abolish-late-fees-after-forgiving-tree-christmas-campaign-success/news-story/5ebad842ca856899c8a019ba92d812e7"
1/25/2019 13:10:41,Putney Public Library,www.putneylibrary.org,No Fines,"https://www.reformer.com/stories/putney-library-says-no-more-late-fees,108447"
1/25/2019 13:14:37,Whitesville Public LIbrary,www.whitesvillelibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",Our policies are on our website.  
1/25/2019 13:22:04,Driftwood Public Library,www.driftwoodlib.org,No Fines,
1/25/2019 13:23:41,St. Joseph Public Library,Sjpl.lib.mo.us,No Fines,No. We’ve been fine free for years!  
1/25/2019 13:24:57,Cambridge Public Library,https://www.cambridgema.gov/cpl,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
1/25/2019 13:27:07,Grandview Heights Public Library,Ghpl.org,No Fines,https://www.ghpl.org/2018/05/10/simplified-loan-periods/
1/25/2019 13:27:53,Toledo Public Library,cityoftoledo.org/library/,No Fines,
1/25/2019 13:33:11,Chillicothe & Ross County Public Library,www.crcpl.org,No Fines,"This library went fine free in 2017. Can't find the actual article, but here's a reference to it: https://woub.org/event/chillicothe-ross-county-library-now-fine-free/"
1/25/2019 13:35:56,Chetco Community Public Library,www.chetcolibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",No.  But the Coastline Consortium (which includes libraries in Coos & Curry Counties) just eliminated juvenile fines. 
1/25/2019 13:38:02,Mansfield Public Library,mansfieldpubliclibraryct.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://thechronicle.com/stories/20190105LIBRARY.php
1/25/2019 13:42:19,St. Paul Public Library System,https://sppl.org/,No Fines,http://www.startribune.com/st-paul-library-late-fees-scrapped/504030612/
1/25/2019 13:42:33,Clermont Public Library,https://www.clermont.lib.ia.us/,No Fines,
1/25/2019 13:46:41,Coos Bay Public Library,coosbaylibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",not yet
1/25/2019 13:52:33,Caro Area District Library,www.carolibrary.org,No Fines,https://caro.ploud.net/about-us/policies/cadlpolicymanual19.pdf
1/25/2019 13:52:37,Richland Library,richlandlibrary.com,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
1/25/2019 13:56:00,Altadena Library District,altadenalibrary.org,No Fines,
1/25/2019 13:58:23,Florence Community Library,http://www.florenceaz.gov/library,No Fines,No
1/25/2019 14:01:38,Pierson Library,http://www.piersonlibrary.org,No Fines,http://www.piersonlibrary.org/library-cards-2/
1/25/2019 14:02:49,Yankton Community Library,library.cityofyankton.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",Fines on DVDs only - https://www.yankton.net/community/article_752b2b9e-dfbd-11e7-9538-efc61db2d8e4.html
1/25/2019 14:04:43,Westerville Public Library,http://www.westervillelibrary.org/,No Fines,
1/25/2019 14:13:28,Fort Vancouver Regional Library District,www.fvrl.org,No Fines,I worked there from 1992-2013 and they did not/do not charge fines. @library_dean
1/25/2019 14:14:52,Sonoma County library,Www.sonomalibrary.org,In the Process of Removing Fines,"No, still in thinking/planning stages"
1/25/2019 14:18:31,Kenosha Public Library Northside Neighborhood Library,www.mykpl.info,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
1/25/2019 14:19:48,Farnsworth Public Library,ocontolibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
1/25/2019 14:36:23,Meridian Library District,MLD.org,No Fines,No
1/25/2019 14:45:32,Denver Public Libraries,denverlibrary.org,No Fines,https://www.denverlibrary.org/fine-free
1/25/2019 14:48:57,Citrus County library system,Citruslibraries.org,No Fines,
1/25/2019 14:50:56,Clara Speigel,comlib.org,No Fines,
1/25/2019 14:54:44,Lake Agassiz Regional Library,larl.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://larl.org/policies/registration-and-circulation-policy/
1/25/2019 15:05:09,Portland Community College Library - (all four campus libraries),www.pcc.edu/library,No Fines,No.
1/25/2019 15:21:13,Tomkins Cove Public Library,TomkinsCoveLibrary. Org,No Fines,
1/25/2019 16:00:23,Newport Public Library,www.newportlibrary.org,No Fines,No. It has been this way for many years. 
1/25/2019 16:03:52,Fargo Public Library,Fargolibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.inforum.com/entertainment/books/4467559-fargo-public-library-eliminates-overdue-fines-childrens-materials
1/25/2019 16:04:26,Baldwin County Library Cooperative,http://baldwincountylibrary.org/,No Fines,"No, did it years ago"
1/25/2019 16:05:58,Bartholomew County Public Library,www.mybcpl.org,No Fines,
1/25/2019 16:06:09,"Marjorie Younce Snook Public Library, Summerdale, AL",http://www.summerdalelibrary.com/,No Fines,"No, happened years ago"
1/25/2019 16:16:46,Potsdam Public Library,https://www.potsdamlibrary.org/,No Fines,
1/25/2019 16:18:52,Richland Hills Public Library,http://www.richlandhills.com/government/departments/library,No Fines,
1/25/2019 16:22:51,Dr. Shaw Memorial Library,drshawlibrary.org,No Fines,no
1/25/2019 16:36:24,Tigard Public Library,http://www.tigard-or.gov/library.php,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.wccls.org/overdue-fine-rate-changes-faq
1/25/2019 16:44:19,Harbor Springs Library,www.harborspringslibrary.org,No Fines,
1/25/2019 16:52:13,Peabody Memorial Library,www.peabody.lib.me.us,No Fines,
1/25/2019 17:15:55,"Washington County Cooperative Library Services (includes all the Washington County libraries as members, too)",wccls.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)","Note: we are not currently fine free as you have listed, just partially: https://www.wccls.org/overdue-fine-rate-changes-faq"
1/25/2019 17:21:10,Licking County Library,Licking County Library.org,No Fines,
1/25/2019 17:32:52,Weymouth Public LIbraries,https://www.weymouth.ma.us/weymouth-public-libraries,No Fines,No
1/25/2019 17:42:01,Waldport Public Library,waldportlibrary.org,No Fines,
1/25/2019 18:02:54,Loveland Public Library,lovelandpubliclibrary.org,No Fines,
1/25/2019 18:17:30,Trails Regional Library,trailslibrary.org,No Fines,"No articles, but our fine free policy was adopted in 2008. "
1/25/2019 18:27:07,Gilliam County Public Library,http://www.co.gilliam.or.us/government/library/index.php,No Fines,
1/25/2019 18:45:12,Huntington Public Library,https://thehuntingtonpubliclibrary.wordpress.com,No Fines,No
1/25/2019 19:03:34,Coeur d’Alene Public Library,Www.cdalibrary.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
1/25/2019 19:08:59,Floyd Memorial,www.Floydmemoriallibrary.org,No Fines,No. 
1/25/2019 19:09:10,Blodgett Memorial Library,Blodgettmemoriallibrary.org,No Fines,
1/25/2019 19:38:56,Northern Onondaga Public Library ,www.nopl.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",No
1/25/2019 19:51:57,Ashtabula County District Library,www.acdl.info,No Fines,
1/25/2019 20:06:42,Lucius Beebe Memorial Library ,www.wakefieldlibrary.org,No Fines,
1/25/2019 20:23:08,Swan Valley Middle School Library,swanvalleyschools.com,No Fines,
1/25/2019 20:28:46,Oakville Public library,www.opl.ca,In the Process of Removing Fines,Soon 
1/25/2019 20:30:22,Racine Public Library,Racinelibrary.info,No Fines,
1/25/2019 21:07:01,Stark County District Library,starklibrary.org,No Fines,
1/25/2019 21:14:27,Santa Cruz Public ,Www.santacruzpl.org,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",
1/25/2019 21:59:41,Upton Town Library,http://www.uptonlibrary.org,No Fines,No
1/25/2019 22:09:31,Bexley Public Library ,Bexleylibrary.org,No Fines,
1/25/2019 22:25:21,Flagstaff City-Coconino County Public Library,https://www.flagstaffpubliclibrary.org,No Fines,
1/25/2019 22:51:43,Cozby Library and Community Commons,http://www.coppelltx.gov/residents/public-library,No Fines,No
