"","library_name","state","type_of_elimination","fine_free_date","official_policy_link","library_url"
"1","Boise Public Library","ID","In the Process of Removing Fines",2019-10-01,"https://www.boisepubliclibrary.org/library-cards/using-your-card/","boisepubliclibrary.org"
"2","Nampa Public Library","ID","No Fines",2019-10-01,NA,"nampalibrary.org"
"3","San Francisco Public Library","CA","Everyone",2019-09-16,"https://sfpl.org/pdf/services/finesandfees.pdf","https://sfpl.org/"
"4","New Orleans Public Library","LA","Children and Teenagers",2019-09-03,"http://www.nolalibrary.org/page/88/faq-frequently-asked-questions","http://nolalibrary.org/"
"5","Detroit Public Library","MI","Everyone",2019-09-01,"https://detroitpubliclibrary.org/policies/fees-and-fines","https://detroitpubliclibrary.org/"
"6","Hackley Public Library","MI","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",2019-09-01,NA,"hackleylibrary.org"
"7","Loutit District Library","MI","In the Process of Removing Fines",2019-09-01,"http://loutitlibrary.org/using-the-library/overdue-material","loutitlibrary.org"
"8","Belvedere Tiburon Library","CA","Everyone",2019-08-30,NA,"https://www.beltiblibrary.org/"
"9","Loudoun County Public Library","VA","Everyone",2019-08-30,"https://library.loudoun.gov/Portals/0/Loudoun%20County%20Public%20Library%20Policies%2008-28-19.pdf","https://library.loudoun.gov/"
"10","Calvert Libary","MD","No Fines",2019-08-20,"https://calvertlibrary.info/about-us/library-info/policies/","CalvertLibrary.Info"
"11","The Community Library","NY","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",2019-08-20,"https://communitylibrary.mvls.info/registration-2/","https://communitylibrary.mvls.info/"
"12","Chattahoochee Valley Libraries","GA","Everyone",2019-08-15,"https://www.cvlga.org/wp-content/uploads/Circulation-Policy-2019-Update.docx.pdf","https://www.cvlga.org/"
"13","Spokane Public Library","WA","Everyone",2019-08-01,"https://www.spokanelibrary.org/policies/","https://www.spokanelibrary.org/"
"14","Cleveland Public Library","OH","Everyone",2019-07-27,"https://cpl.org/aboutthelibrary/usingthelibrary/library-cards/","https://cpl.org/"
"15","Dubois Branch Library","IN","No Fines",2019-07-12,"http://www.jdcpl.us/circulation.php","http://www.jdcpl.us/"
"16","Jasper-Dubois County Public Library","IN","No Fines",2019-07-12,"http://jdcpl.us/circulation.php","http://www.jdcpl.lib.in.us/"
"17","Clifton Springs Library","NY","Everyone",2019-07-11,"https://cliftonspringslibrary.com/borrowing-policy-fines-and-fees/","https://cliftonspringslibrary.com/"
"18","Culpeper County Library","VA","Everyone",2019-07-02,"http://tlc.library.net/culpeper/contentpages.asp?loc=90","http://tlc.library.net/culpeper/default.asp"
"19","Alameda County Library","CA","Everyone",2019-07-01,NA,"https://www.aclibrary.org/home"
"20","Camden County Library System","NJ","Everyone",2019-07-01,"https://www.camdencountylibrary.org/borrowing-policies#card","https://www.camdencountylibrary.org/"
"21","Carnegie-Stout Public Library","IA","No Fines",2019-07-01,NA,"www.dubuque.lib.ia.us"
"22","Forbes Library","MA","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",2019-07-01,"https://forbeslibrary.org/help/borrowing/","forbeslibrary.org"
"23","Harborfields Public Library","NY","No Fines",2019-07-01,NA,"harborfieldslibrary.org"
"24","Hickory Public Library","NC","No Fines",2019-07-01,"https://www.hickorync.gov/content/about-library","www.hickorync.gov/content/library"
"25","Howard Miller Public Library","MI","Children Only",2019-07-01,"https://www.hmpl.org/429/No-Late-Fines-on-Childrens-Print-Materia","https://www.hmpl.org/"
"26","Kansas City Library","MO","Everyone",2019-07-01,"https://kclibrary.org/finefree","https://kclibrary.org/"
"27","Lynchburg Public Library","VA","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",2019-07-01,"https://lynchburgpubliclibrary.org/faq/","lynchburgpubliclibrary.org"
"28","Marin County Free Library","CA","Everyone",2019-07-01,"https://marinlibrary.org/faq/#faq-overdue-fees","https://marinlibrary.org/"
"29","Mississippi Valley Library District","IL","Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",2019-07-01,"https://mvld.org/pdf/2019/POLICY%20MANUAL%20February%202019.pdf","www.mvld.org"
