"","library_name","library_url","type_of_elimination","source","X","ulc_member","reason_for_stopping_fines","lat","long","policy_notes","official_policy_link","state","fine_free_date","fine_free_date_notes","useful_open_data","open_data_url","amnesty","amnesty_notes","literature","timestamp"
"1","Abilene Public Library",NA,"Everyone","https://www.bigcountryhomepage.com/news/main-news/all-branches-of-the-abilene-public-library-will-stop-fining-for-overdue-items-starting-oct-1/1480588788",12,FALSE,"""A lot of people don't want to use books from the library if they're getting fines charged to them.""",32.450937,-99.735723,"other library systems started a new policy about five or six years ago that has shown to be effective.",NA,"","","","","",NA,NA,NA,NA
"2","Alameda County Library",NA,"Everyone","https://guides.aclibrary.org/blog/Fine-Free-for-All",133,TRUE,"Studies have shown that library fines create significant barriers to library access, especially for families on fixed incomes and among children and teens.",NA,NA,NA,NA,"","","","","",NA,NA,NA,NA
"3","Albany Public Library",NA,"Everyone","https://www.albanypubliclibrary.org/blog/apl-to-eliminate-late-fines-for-books-media/",104,FALSE,"“Albany Public Library is joining the ranks of libraries nationwide that are removing fines for overdue items to make it easier for people to borrow books, DVDS, and other materials for education and entertainment,” said Scott C. Jarzombek, APL executive director.  “Late fines are a poor incentive for people to bring books back on time. And, they keep people who are unable to pay those fines away from the library. By eliminating late fines, we hope to bring people back to the library and make it easier for them to borrow and use our collection,”",NA,NA,NA,NA,"","","","","",NA,NA,NA,NA
"4","Albuquerque and Bernalillo County Library System",NA,"Everyone","https://abqlibrary.org/librarycards/fineprint",41,TRUE,NA,35.086142,-106.653215,"Fine Free for over 25 years",NA,"","","","","",NA,NA,NA,NA
"5","Algonquin Area Public Library District",NA,"Everyone","http://www.nwherald.com/2014/09/03/algonquin-area-library-to-stop-charging-overdue-fines/agbm8x8/",29,FALSE,"Fines make up just less than $60,000 in revenue in the library’s $6 million budget. The vast majority of overdue items are less than a week overdue ",42.162368,-88.346267," Under the new policy, if an item is overdue by two weeks, the library will send the cardholder a bill for the item and suspend the borrowing privileges until the item is returned or the bill is settled. The library still will charge cardholders for lost or damaged items.",NA,"","","","","",NA,NA,NA,NA
"6","Altadena Libraries",NA,"Everyone","https://www.altadenalibrary.org/borrowing/",99,FALSE,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA
"7","Anythink",NA,"Everyone","https://www.anythinklibraries.org/about/policies",23,TRUE,NA,39.987021,-104.819539,NA,NA,"","","","","",NA,NA,NA,NA
"8","Arapahoe Library District",NA,"Everyone","https://arapahoelibraries.org/faq/fine-free/",57,FALSE,"The change in the overdue fine policy was implemented to eliminate any barriers for our patrons to use our libraries and to access the wealth of materials and resources available. The elimination of overdue fines is another way to serve our community and encourage those who might not regularly use the library to stop by and experience what we have to offer.",39.578915,-104.838807,"A replacement cost will be assessed if an item is not returned within 30 days after its due date. Once the billed item is returned, the replacement cost will be waived.",NA,"","","","","",NA,NA,NA,NA
"9","Austin Public Library",NA,"Children Only","https://www.statesman.com/news/20181001/austin-public-library-ends-overdue-fines-on-childrens-books",49,TRUE,"“Removing financial barriers to access is directly in line with the library’s efforts to improve equity, diversity and inclusion among its users,” said Roosevelt Weeks, Austin’s director of libraries.",30.265909,-97.751802,NA,NA,"","","","","",NA,NA,NA,NA
"10","Bangor Public Library",NA,"Everyone","https://bangordailynews.com/2018/01/22/news/bangor/bangor-public-library-abolishes-late-fees-for-overdue-books/",105,FALSE,"For library director Barbara McDade, abolishing daily late fees was a simple solution to a larger problem. The majority of patrons that are late on books are less than one month late, so eliminating a barrier to regular usage for most patrons made sense to the library’s board of directors, she said.",NA,NA,NA,NA,"","","","","",NA,NA,NA,NA
"11","Bellingham Public Library",NA,"Children and Teens Only","https://www.bellinghampubliclibrary.org/",5,FALSE,NA,48.754157,-122.478842,NA,NA,"WA","","","no","",NA,NA,NA,NA
