1,Username,Date,Time,Comment,Reply,Reply-To,Reply-To_Row_Num,Respect_Count,Edited
2,ThePessimist,6/27/19,13:48,"""it would cost $167 million above what the City Council has budgeted for libraries.""

So there you have the problem. City Council should learn how to prioritize and budget properly. Vote ""No"" and send a message for city council to fund core city services and put non-essential programs on the ballot.

""you’re not going to choose paying fines over eating,”

That's the wrong comparison to make. Low income people can choose to return books on time over paying fines.

""Seattle voters are a generous lot""

I think the STEB is conflating generosity with gullability here.",no,na,na,4,yes
3,hewhois,6/27/19,8:27 AM,"Again the “renewal” trick. This is not a renewal, it is a brand new levy almost doubling the expiring levy. I’m voting no for that reason, and the stupid, irresponsible cancelling of late fees. To suggest that low income people are less able to return a book on time than higher income people is classist and insulting. Responsibility is not income dependent.",no,na,na,4,no
4,Scrumdog1,6/27/19,6:49 AM,"It is not a library system, it is a homeless day care facility with web access for adult videos.",no,na,na,6,no
5,citizen cane,6/26/19,11:50 PM,This is not an editorial it is propaganda ,no,na,na,6,no
6,rjr4rjr4,6/26/19,7:39 PM,Libraries lost their relevance at the end of the 20th century and are now just homeless shelters in disguise.,no,na,na,8,no
7,DAWG9691,6/26/19,4:08 PM,"  Nice to see the times not allowing comments against their opinion.

The Library’s major increase in expense has been providing WiFi to the homeless. Everything seems to be a sleight of hand by the government and the ST editorial board supports 95% of it.",no,na,na,9,no
8,amember,6/26/19,2:49 PM,"""you’re not going to choose paying fines over eating""

Hence, it is reasonable to expect they will also not enforce collection of taxes, since

""you're not going to choose paying taxes over eating""",no,na,na,4,no
9,walter mitty,6/26/19,2:26 PM,"Unless something compelling causes me to change my mind, I plan on voting NO. Government sponsored programs and services are created, in theory, to support the needs of the residents within their community. If the service needs grow, the support base can chip in to fund the services which have proven to be a need.  

I reviewed annual reports from the library website (2007 to 2016) and what stuck out in my mind was this:

Library materials checked out by children increased slightly, while people attending library programs saw a surge. There were new metrics as a result of technology such as increase in online streamed materials, as an example.

Noteworthy, however, was the decline in adult materials checked out (DOWN 26%), media use – DVD, audiobooks, CDs (DOWN 42%), library visitors (DOWN 24%), customers contacting the library with reference questions (DOWN 32%).

Personnel costs increased 8% with a corresponding increase in payroll, up 38%. ($39m in 2009 to $52.8m in 2016).

Infusions of money saw $196m in 1998 (levy), $123m in 2012 (bond). Now, the library is asking for an additional $218.1m. Let’s just round that off to half a billion dollars in 20 years…over and above the City's general funding.

The proposed levy seeks to leverage property owners into subsidizing library services, some of which (my opinion) do not rise to the level of NEED, nor do they match the services requested by their consumer base. They seem to fall more under “boy it sure would be neat if we” like options on a car….so the push is on now to try and convince Seattle residents that they really need these improvements. Kind of a 'we know what's good for you' instead of ""you've asked for these improvement again and again.""

During this same period of time, my property tax on my small footprint home has increased $2000/yr. This nickel and diming of claims against my property is hidden behind glowing, altruistic sound bites with labels which pander to voters’ emotions. This is where I take a stand against unabated spending by government agencies.

Why not operate the library within their budget and means?  Structure the services without all the pie in the sky, unicorn and rainbow options? Quit looking to property owners as your cash cow…. which is quite different than asking each voter... which includes those who do not have a direct nexus to property tax responsibility, to step up and chipping in?

There are way too many other City services which I feel have a higher priority which I’m more likely to dig a little deeper and make a sacrifice given my limited income status.

Libraries have evolved over the past 20 years due to technology.  More homes and people have access to information and learning services which bypass the traditional library.  Libraries have found it challenging to remain relevant in their communities than ever before.  The details of the proposed levy just aren't compelling enough for me.  I'm voting NO.",no,na,na,17,no
10,springthaw,6/27/19,2:48 AM,"Thank you for your research and the number crunching. Those numbers reflect what many library systems all over the US are facing, less usage. It’s why SPL is venturing into offering classes and social services in trying to stay relevant and up the usage number. 

Many of the SPL programs such as ESL class , citizenship class, homework help, basic computer literacy class are duplicating what many Seattle nonprofits already offered to the public.  Goodwill, Literacy Source, Seattle Community Colleges, El Centro de la Reza, Catholic charities, Seattle Public Schools, and the many local nonprofits that work with immigrants and the poor have similar programs in place.  In addition, many of the people who need such help don’t live in Seattle because it’s unaffordable.  It’s why the need for such programs are in places like Tukwila, SeaTac, and Burien. 

I can see a library Levy for capital improvement. 

I will vote NO because this Levy is too expensive and the library shouldn’t be wasting tax dollars trying to offer services already well covered by many non-profits (which do a better job) or other city departments.

I also have mixed feelings about getting rid of late fines. The library shouldn’t impose fines on children's books and materials, but adults are fair game.  Get rid of the fine and people will hang onto these book longer than necessary and keep them out of circulation- which goes against the purpose of a circulating library. ",yes,walter mitty,9,4,no
11,Iibqa,6/26/19,2:02 PM,"I am firmly against this levy because of the proposed policy to eliminate fines for overdue and unreturned/lost materials. This is an invitation for more irresponsible behavior. If the primary purpose of public libraries is for everyone to share in its resources, then how can we share when some people aren't taking seriously the requirement to return checked-out items in a timely way. It should be a privilege, and not just a right, to have a library card. If someone cannot bide by the rules of the library return policy, and refuses to pay the small fines, their privileges ought to be taken away. They can still use library resources, but should not be permitted to remove them from the library.

If this levy passes, and fines are eliminated, will eliminating the need for library cards be next? What is there to keep someone from starting their own home library with unreturned books? ",no,na,na,13,no
